personid,gender,birthmonth,birthyear,highestgradecompleted,maritalstatus,childathome,childnotathome,wageincome,weeklyhrscomputer,weeklyhrstv,nightlyhrssleep,satverbal,satmath,gpaoverall,gpaenglish,gpamath,gpascience,highestdegree,govprovidejobs,govpricecontrols,govhealthcare,govelderliving,govindhelp,govunemp,govincomediff,govcollegefinance,govdecenthousing,govprotectenvironment,weeksworked00,weeksworked01,weeksworked02,weeksworked03,weeksworked04,weeksworked05,weeksworked06,weeksworked07,weeksworked08,weeksworked09,weeksworked10,weeksworked11,weeksworked12,weeksworked13,weeksworked14,weeksworked15,weeksworked16,weeksworked17,colenrfeb97,colenroct97,colenrfeb98,colenroct98,colenrfeb99,colenroct99,colenrfeb00,colenroct00,colenrfeb01,colenroct01,colenrfeb02,colenroct02,colenrfeb03,colenroct03,colenrfeb04,colenroct04,colenrfeb05,colenroct05,colenrfeb06,colenroct06,colenrfeb07,colenroct07,colenrfeb08,colenroct08,colenrfeb09,colenroct09,colenrfeb10,colenroct10,colenrfeb11,colenroct11,colenrfeb12,colenroct12,colenrfeb13,colenroct13,colenrfeb14,colenroct14,colenrfeb15,colenroct15,colenrfeb16,colenroct16,colenrfeb17,colenroct17
101230,Female,2,1984,11.0,Never-married,2.0,0.0,,None,Less than 2 hours per week,6.0,,,,,,,0. None,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
101288,Female,7,1980,20.0,Married,2.0,0.0,50000.0,10 hours or more a week,3 to 10 hours a week,7.0,,,363.0,357.0,343.0,360.0,5. Masters,,,,,,,,,,,51.0,50.0,50.0,52.0,52.0,53.0,44.0,49.0,31.0,52.0,52.0,43.0,52.0,52.0,52.0,52.0,53.0,52.0,,1. Not enrolled,1. Not enrolled,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college
101414,Male,6,1984,12.0,Never-married,2.0,0.0,20000.0,None,3 to 10 hours a week,4.0,,,298.0,288.0,300.0,280.0,2. High School,,,,,,,,,,,0.0,0.0,27.0,10.0,8.0,53.0,52.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,51.0,53.0,52.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
101526,Female,9,1984,18.0,Married,2.0,0.0,,7 to 9 hours a week,21 to 30 hours a week,5.0,,,337.0,300.0,293.0,325.0,5. Masters,,,,,,,,,,,20.0,52.0,50.0,52.0,37.0,0.0,0.0,5.0,51.0,32.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,1. Not enrolled,3. 4-year college,1. Not enrolled,1. Not enrolled,3. 4-year college,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
101527,Female,3,1981,12.0,Never-married,3.0,0.0,22000.0,10 hours or more a week,3 to 10 hours a week,7.0,,,326.0,273.0,298.0,293.0,2. High School,,,,,,,,,,,53.0,27.0,52.0,52.0,51.0,51.0,11.0,0.0,15.0,43.0,45.0,22.0,18.0,52.0,52.0,52.0,53.0,52.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
101622,Female,1,1984,18.0,Married,2.0,0.0,17000.0,10 hours or more a week,3 to 10 hours a week,8.0,,,,,,,5. Masters,,,,,,,,,,,0.0,0.0,52.0,52.0,52.0,41.0,26.0,52.0,52.0,52.0,52.0,23.0,0.0,0.0,44.0,52.0,53.0,45.0,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,4. Graduate program,4. Graduate program,4. Graduate program,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
101693,Female,1,1984,14.0,Married,,,25000.0,1 to 3 hours a week,3 to 10 hours a week,6.0,,,,,,,3. Associates,,,,,,,,,,,0.0,0.0,10.0,52.0,51.0,53.0,52.0,41.0,42.0,43.0,46.0,38.0,43.0,42.0,52.0,52.0,53.0,49.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,2. 2-year college ,1. Not enrolled,1. Not enrolled,2. 2-year college ,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
101705,Female,11,1981,,,,,,,,,,,,,,,1. GED,,,,,,,,,,,44.0,52.0,31.0,50.0,34.0,,,,,,,,,,,,,,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,,,,,,,,,,,,,,,,,,,,,,,,,,
101718,Male,1,1980,9.0,Never-married,1.0,2.0,,1 to 3 hours a week,Less than 2 hours per week,6.0,,,,,,,1. GED,,,,,,,,,,,27.0,0.0,21.0,52.0,29.0,0.0,0.0,0.0,0.0,6.0,52.0,53.0,52.0,9.0,0.0,32.0,0.0,0.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
101724,Female,2,1981,15.0,Divorced,3.0,0.0,0.0,10 hours or more a week,Less than 2 hours per week,7.0,,,235.0,233.0,100.0,293.0,3. Associates,,,,,,,,,,,36.0,52.0,52.0,52.0,35.0,14.0,16.0,52.0,51.0,52.0,52.0,41.0,52.0,52.0,52.0,17.0,0.0,17.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,2. 2-year college ,2. 2-year college ,2. 2-year college ,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,3. 4-year college,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
101910,Male,4,1980,16.0,Never-married,,,,10 hours or more a week,11 to 20 hours a week,9.0,,,,,,,4. Bachelors,,,,,,,,,,,0.0,6.0,0.0,11.0,34.0,19.0,52.0,25.0,17.0,51.0,52.0,48.0,52.0,52.0,52.0,52.0,2.0,51.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,3. 4-year college,1. Not enrolled,1. Not enrolled,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
101997,Male,5,1981,8.0,Divorced,,,47000.0,10 hours or more a week,3 to 10 hours a week,6.0,,,,,,,2. High School,4. Definitely not,1. Definitely,1. Definitely,3. Probably not,4. Definitely not,4. Definitely not,4. Definitely not,3. Probably not,4. Definitely not,1. Definitely,49.0,49.0,37.0,48.0,48.0,50.0,44.0,51.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,52.0,53.0,52.0,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
102061,Male,12,1980,,,,,,,,,,,,,,,0. None,,,,,,,,,,,21.0,9.0,,,11.0,19.0,21.0,23.0,5.0,0.0,0.0,0.0,0.0,15.0,41.0,50.0,,,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,,,,
102110,Male,6,1982,16.0,Never-married,,,75000.0,10 hours or more a week,Less than 2 hours per week,7.0,,,,,,,4. Bachelors,,,,,,,,,,,53.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,52.0,53.0,52.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
102125,Male,12,1983,14.0,Married,2.0,0.0,85000.0,10 hours or more a week,31 to 40 hours a week,6.0,,,314.0,285.0,287.0,287.0,3. Associates,,,,,,,,,,,48.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,52.0,53.0,52.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
